ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-10-06,656122.7472602881,603802.3858612577,689429.0240265585,656122.7472602881,656122.7472602881,-7426.949331437894,-7426.949331437894,-7426.949331437894,30976.36584042698,30976.36584042698,30976.36584042698,-38403.31517186488,-38403.31517186488,-38403.31517186488,0.0,0.0,0.0,648695.7979288502
2020-10-07,656218.2712029237,608514.170921572,690114.0079923122,656218.2712029237,656218.2712029237,-6164.50639199219,-6164.50639199219,-6164.50639199219,33161.686363850364,33161.686363850364,33161.686363850364,-39326.19275584256,-39326.19275584256,-39326.19275584256,0.0,0.0,0.0,650053.7648109315
2020-10-08,656313.7951455595,605988.1589011885,690876.7876573117,656313.7951455595,656313.7951455595,-8258.445924670079,-8258.445924670079,-8258.445924670079,31942.90595683568,31942.90595683568,31942.90595683568,-40201.351881505754,-40201.351881505754,-40201.351881505754,0.0,0.0,0.0,648055.3492208894
2020-10-09,656409.3190881951,598254.1604054308,681796.4555491277,656409.3190881951,656409.3190881951,-17700.740010478883,-17700.740010478883,-17700.740010478883,23317.673016023615,23317.673016023615,23317.673016023615,-41018.41302650251,-41018.41302650251,-41018.41302650251,0.0,0.0,0.0,638708.5790777162
2020-10-10,656504.8430308307,524882.5108714713,609632.8138977832,656504.8430308307,656504.8430308307,-88729.5162708635,-88729.5162708635,-88729.5162708635,-46963.30312803486,-46963.30312803486,-46963.30312803486,-41766.21314282866,-41766.21314282866,-41766.21314282866,0.0,0.0,0.0,567775.3267599673
2020-10-11,656600.3669734665,487108.8592614808,572074.9708786997,656600.3669734665,656600.3669734665,-129489.37237219063,-129489.37237219063,-129489.37237219063,-87056.15761399077,-87056.15761399077,-87056.15761399077,-42433.21475819987,-42433.21475819987,-42433.21475819987,0.0,0.0,0.0,527110.9946012759
2020-10-12,656695.890916102,583638.9714643656,674243.2163519013,656695.890916102,656695.890916102,-28387.104608692163,-28387.104608692163,-28387.104608692163,14620.829564677642,14620.829564677642,14620.829564677642,-43007.9341733698,-43007.9341733698,-43007.9341733698,0.0,0.0,0.0,628308.7863074099
2020-10-13,656791.4148587377,601776.0471387928,685241.2604348025,656791.4148587377,656791.4148587377,-12503.005951773806,-12503.005951773806,-12503.005951773806,30976.365840397517,30976.365840397517,30976.365840397517,-43479.37179217132,-43479.37179217132,-43479.37179217132,0.0,0.0,0.0,644288.4089069639
2020-10-14,656886.9388013735,604662.4516260078,686848.855550112,656886.9388013735,656886.9388013735,-10675.741224204985,-10675.741224204985,-10675.741224204985,33161.686363802386,33161.686363802386,33161.686363802386,-43837.42758800737,-43837.42758800737,-43837.42758800737,0.0,0.0,0.0,646211.1975771685
2020-10-15,656982.462744009,603102.3553282615,689183.1287306097,656982.462744009,656982.462744009,-12130.37933321243,-12130.37933321243,-12130.37933321243,31942.905956959075,31942.905956959075,31942.905956959075,-44073.2852901715,-44073.2852901715,-44073.2852901715,0.0,0.0,0.0,644852.0834107966
2020-10-16,657077.9866866447,592688.437016968,679987.5795158545,657077.9866866447,657077.9866866447,-20862.077030633878,-20862.077030633878,-20862.077030633878,23317.67301596326,23317.67301596326,23317.67301596326,-44179.750046597146,-44179.750046597146,-44179.750046597146,0.0,0.0,0.0,636215.9096560108
2020-10-17,657173.5106292804,526902.0365308488,611477.2780578498,657173.5106292804,657173.5106292804,-91114.82917451776,-91114.82917451776,-91114.82917451776,-46963.30312776164,-46963.30312776164,-46963.30312776164,-44151.52604675614,-44151.52604675614,-44151.52604675614,0.0,0.0,0.0,566058.6814547626
2020-10-18,657269.034571916,480350.132675837,569092.3711381226,657269.034571916,657269.034571916,-131041.58042513813,-131041.58042513813,-131041.58042513813,-87056.15761396948,-87056.15761396948,-87056.15761396948,-43985.422811168624,-43985.422811168624,-43985.422811168624,0.0,0.0,0.0,526227.4541467779
2020-10-19,657364.5585145517,582518.369809215,670284.2346103918,657364.5585145517,657364.5585145517,-29059.651932764344,-29059.651932764344,-29059.651932764344,14620.829564733418,14620.829564733418,14620.829564733418,-43680.48149749776,-43680.48149749776,-43680.48149749776,0.0,0.0,0.0,628304.9065817874
2020-10-20,657460.0824571874,603618.5116406472,684567.1621490442,657460.0824571874,657460.0824571874,-12261.649707165514,-12261.649707165514,-12261.649707165514,30976.365840402286,30976.365840402286,30976.365840402286,-43238.015547567804,-43238.015547567804,-43238.015547567804,0.0,0.0,0.0,645198.4327500218
2020-10-21,657555.606399823,605842.0802401677,690061.7135017688,657555.606399823,657555.606399823,-9499.87683981928,-9499.87683981928,-9499.87683981928,33161.686363847024,33161.686363847024,33161.686363847024,-42661.563203666316,-42661.563203666316,-42661.563203666316,0.0,0.0,0.0,648055.7295600037
2020-10-22,657651.1303424587,606626.5533247124,692241.1801736281,657651.1303424587,657651.1303424587,-10013.846789986748,-10013.846789986748,-10013.846789986748,31942.905956823157,31942.905956823157,31942.905956823157,-41956.7527468099,-41956.7527468099,-41956.7527468099,0.0,0.0,0.0,647637.283552472
2020-10-23,657746.6542850944,595579.0496223896,679820.047880823,657746.6542850944,657746.6542850944,-17813.41162336832,-17813.41162336832,-17813.41162336832,23317.673015902907,23317.673015902907,23317.673015902907,-41131.08463927122,-41131.08463927122,-41131.08463927122,0.0,0.0,0.0,639933.2426617261
2020-10-24,657842.17822773,531450.524332357,614973.3798091131,657842.17822773,657842.17822773,-87156.94110134008,-87156.94110134008,-87156.94110134008,-46963.303127801155,-46963.303127801155,-46963.303127801155,-40193.63797353893,-40193.63797353893,-40193.63797353893,0.0,0.0,0.0,570685.2371263899
2020-10-25,657937.7021703657,490018.6825192406,580460.4155837133,657937.7021703657,657937.7021703657,-126210.86924050142,-126210.86924050142,-126210.86924050142,-87056.15761390263,-87056.15761390263,-87056.15761390263,-39154.71162659878,-39154.71162659878,-39154.71162659878,0.0,0.0,0.0,531726.8329298643
2020-10-26,658033.2261130014,590918.2662223035,680143.4488589675,658033.2261130014,658033.2261130014,-23404.58362083705,-23404.58362083705,-23404.58362083705,14620.829564801768,14620.829564801768,14620.829564801768,-38025.41318563882,-38025.41318563882,-38025.41318563882,0.0,0.0,0.0,634628.6424921643
